topic,center,start,target,num
428d0,---,089b6,a6d73,1
428d0,---,22ed4,089b6,1
428d0,---,2be4d,a6d73,1
428d0,---,6e1bb,089b6,1
428d0,---,87dad,089b6,1
428d0,---,a4b95,089b6,1
428d0,---,a6d73,ec61d,1
428d0,---,bf6ec,a6d73,1
428d0,---,ec61d,87dad,1
428d0,---,f4624,a4b95,1
428d0,---,089b6,a104c,1
40479,a104c,089b6,a6d73,1
40479,a104c,22ed4,a6d73,1
40479,a104c,2be4d,089b6,1
40479,a104c,6e1bb,a4b95,1
40479,a104c,87dad,a4b95,1
40479,a104c,a4b95,ec61d,1
40479,a104c,a6d73,089b6,1
40479,a104c,bf6ec,87dad,1
40479,a104c,ec61d,87dad,1
40479,a104c,f4624,089b6,1
40479,a104c,089b6,10ba6,1
0c8e4,10ba6,089b6,ec61d,1
0c8e4,10ba6,22ed4,089b6,1
0c8e4,10ba6,2be4d,089b6,1
0c8e4,10ba6,6e1bb,a4b95,1
0c8e4,10ba6,87dad,a4b95,1
0c8e4,10ba6,a4b95,089b6,1
0c8e4,10ba6,a6d73,87dad,1
0c8e4,10ba6,bf6ec,87dad,1
0c8e4,10ba6,ec61d,87dad,1
0c8e4,10ba6,f4624,089b6,1
0c8e4,10ba6,089b6,b2c4,1
